Date,Time,Winner,Loser,Score
18/09/2013,13:34,Jack,David,11 - 7
18/09/2013,13:34,Jack,Phil,11 - 5
18/09/2013,13:34,Jack,Phil,11 - 2
18/09/2013,13:33,Jack,David,12 - 10
18/09/2013,09:55,David,Sean,11 - 2
18/09/2013,09:51,Sean,Tom,11 - 8
17/09/2013,18:23,Phil,Phyo,11 - 3
17/09/2013,18:23,Phil,Fraser,21 - 11
17/09/2013,18:23,Phil,Fraser,21 - 17
17/09/2013,17:11,David,Adrian,11 - 8
17/09/2013,17:04,Adrian,Fraser,14 - 12
17/09/2013,17:03,Adrian,Fraser,11 - 5
17/09/2013,14:02,Phil,Fraser,11 - 4
17/09/2013,14:02,Fraser,Phil,11 - 8
17/09/2013,14:02,David,Phil,11 - 3
17/09/2013,12:51,David,Marco,21 - 16
17/09/2013,11:04,Tom,Phil,12 - 10
17/09/2013,10:37,Phil,James,11 - 6
17/09/2013,10:37,James,Adrian,11 - 9
17/09/2013,10:34,Tom,Adrian,11 - 4
17/09/2013,09:29,Tom,Sam,11 - 3
16/09/2013,18:07,Jack,Tom,11 - 3
16/09/2013,18:06,Tom,Steve,12 - 10
16/09/2013,17:59,Tom,Sam,11 - 5
16/09/2013,17:57,Steve,Tom,11 - 2
16/09/2013,17:53,Tom,Keith,11 - 8
16/09/2013,15:40,David,Steve,12 - 10
16/09/2013,15:39,David,Steve,11 - 6
16/09/2013,15:39,David,Marco,11 - 9
16/09/2013,15:30,Jack,Steve,11 - 5
16/09/2013,15:30,Jack,Steve,11 - 9
16/09/2013,15:30,Jack,Steve,11 - 7
16/09/2013,15:30,Jack,Steve,11 - 5
16/09/2013,15:23,Jack,David,11 - 5
16/09/2013,13:27,Jack,Phyo,11 - 4
16/09/2013,13:27,Jack,Phyo,11 - 4
13/09/2013,18:18,Phyo,Fraser,21 - 19
13/09/2013,18:18,Phyo,Fraser,21 - 14
13/09/2013,18:17,Fraser,Phyo,21 - 17
13/09/2013,17:44,Fraser,Phil,21 - 14
13/09/2013,17:22,Jack,David,26 - 24
13/09/2013,15:46,Jack,Phil,11 - 9
13/09/2013,15:40,David,Phil,11 - 6
13/09/2013,15:40,David,Phil,21 - 10
13/09/2013,14:36,Guy,Phyo,11 - 8
13/09/2013,14:35,Guy,Phyo,11 - 5
13/09/2013,13:51,Jack,Guy,12 - 10
13/09/2013,13:51,David,Jack,11 - 9
13/09/2013,12:29,Guy,David,21 - 18
13/09/2013,12:22,Guy,Tim,11 - 8
13/09/2013,12:14,Jack,Tim,11 - 7
13/09/2013,11:36,Jack,Phyo,11 - 6
12/09/2013,18:48,Phil,Fraser,21 - 16
12/09/2013,15:54,Jack,Phil,11 - 9
12/09/2013,15:53,Jack,Phil,21 - 9
12/09/2013,15:53,Guy,Sam,11 - 1
12/09/2013,15:52,Guy,Sam,11 - 1
12/09/2013,15:52,Sam,Guy,11 - 9
12/09/2013,14:15,Jack,Sam,11 - 4
12/09/2013,14:14,Jack,Sam,11 - 1
12/09/2013,14:08,Jack,Steve,11 - 5
12/09/2013,14:08,Jack,Steve,11 - 3
12/09/2013,14:04,Steve,Sam,11 - 7
12/09/2013,14:03,Steve,Sam,11 - 7
12/09/2013,13:36,Jack,Phil,11 - 8
12/09/2013,13:36,Jack,Phil,21 - 14
12/09/2013,10:41,Jack,Guy,21 - 13
12/09/2013,10:41,Jack,Guy,21 - 18
11/09/2013,18:58,David,Jack,11 - 4
11/09/2013,18:54,Phyo,Sam,11 - 5
11/09/2013,18:50,Jack,Marco,11 - 9
11/09/2013,18:45,Marco,David,11 - 9
11/09/2013,18:38,Phyo,Fraser,11 - 2
11/09/2013,18:35,David,Sam,11 - 5
11/09/2013,18:32,Phyo,Jack,11 - 8,
11/09/2013,18:27,David,Fraser,11 - 5,
11/09/2013,18:18,David,Marco,11 - 6,
11/09/2013,18:11,Steve,Sam,11 - 5,
11/09/2013,18:11,Steve,James,11 - 2,
11/09/2013,18:01,Steve,Phyo,11 - 5,
11/09/2013,18:00,Phyo,Steve,11 - 5,
11/09/2013,17:01,Fraser,Sam,21 - 18,
11/09/2013,16:18,Guy,Jack,12 - 10,
11/09/2013,16:17,Jack,Guy,21 - 11,
11/09/2013,15:58,David,Phyo,11 - 5,
11/09/2013,15:58,David,Phyo,11 - 8,
11/09/2013,15:44,David,Steve,11 - 5,
11/09/2013,15:43,David,Steve,11 - 8,
11/09/2013,15:02,Jack,Phil,21 - 19,
11/09/2013,13:35,David,Jack,11 - 8,
11/09/2013,13:18,Phil,Phyo,11 - 7,
11/09/2013,13:15,Phyo,Sam,12 - 10,
11/09/2013,13:11,David,Guy,11 - 5,
11/09/2013,13:11,David,Phyo,11 - 4,
11/09/2013,13:10,David,Steve,11 - 6,
11/09/2013,12:58,Steve,Sam,11 - 5,
11/09/2013,12:55,David,Sam,11 - 2,
11/09/2013,12:54,David,Phil,11 - 7,
11/09/2013,12:38,David,Phyo,21 - 12,
11/09/2013,09:53,Jack,Guy,27 - 25,
